kport20.jl,31.80929820,2,38
graphpart_clique-50.jl,,150,0
castro15m2.jl,,0,0
castro6m2.jl,,0,0
house.jl,-4500,0,0
alkyl.jl,-1.764999646,0,0
genpooling_lee2.jl,-3849.265424,9,0
ex1265.jl,10.3,100,0
gear4.jl,1.643428474,0,4
meanvarx.jl,14.36923211,14,0
wager.jl,20339.43184,30,54
castro7m2.jl,,0,0
util.jl,999.5787502,28,0
genpooling_meyer15.jl,943734.04360000,352,0
genpooling_meyer04.jl,1086187.13700000,55,0
castro12m2.jl,,0,0
primary.jl,-1.28796692,8,52
kport40.jl,37.17581241,3,111
camshape100.jl,-4.284147122,0,0
castro8m2.jl,,0,0
castro11m2.jl,,0,0
knp5-40.jl,0.98485520,0,0
castro5m2.jl,,0,0
fuel.jl,8566.118962,3,0
johnall.jl,-224.7301616,190,0
nlp1.jl,,0,0
nlp2.jl,,0,0
saa_2.jl,12.16130890,400,0
genpooling_lee1.jl,-4640.082413,9,0
carton7.jl,191.72954810,200,56
forest.jl,1.439622649e7,73,0
bayes2_10.jl,0.00030565,0,0
blend718.jl,7.393,87,0
blend531.jl,20.039,104,0
castro14m2.jl,,0,0
castro13m2.jl,,0,0
ex1223a.jl,4.579582402,4,0
nlp3.jl,,0,0
ex1264.jl,8.6,68,0
blend721.jl,13.5268,87,0
genpooling_meyer10.jl,1086187.13700000,187,0
dispatch.jl,3155.287927,0,0
elf.jl,0.1916666667,24,0
blend029.jl,13.3594,36,0
o8_ar4_1.jl,243.0707486,0,56
ex1266.jl,16.3,138,0
ndcc12.jl,106.35415480,46,0
blend146.jl,45.29656579,87,0
multiplants_mtg1a.jl,391.6133684,93,0
castro9m2.jl,,0,0
castro2m2.jl,,0,0
blend852.jl,53.96269993,120,0
blend480.jl,9.2266,124,0
routingdelay_bigm.jl,146.62557000,396,0
waterno2_04.jl,145.43979180,36,0
nuclear14.jl,-1.12965856,576,0
multiplants_mtg2.jl,7099.18621100,112,0
ndcc15.jl,94.61120710,40,0
water4.jl,907.01699590,126,0
crossdock_15x7.jl,14409.00000000,210,0
SLay10H.jl,129579.88380000,180,0
qap.jl,388214.0000000,225,0
tln5.jl,10.30000000,5,30
hydroenergy3.jl,744963.72460000,336,0
squfl030-100.jl,363.09384830,30,0
sfacloc2_3_80.jl,11.05851806,107,0
Syn40M04H.jl,901.75161430,320,0
squfl030-100persp.jl,363.09384830,30,0
ndcc13persp.jl,85.89192467,42,0
squfl030-150.jl,430.57655210,30,0
RSyn0815M04H.jl,3410.85648800,376,0
squfl030-150persp.jl,430.57655490,30,0
SLay10M.jl,129579.88380000,180,0
squfl040-080.jl,263.89916130,40,0
FLay05H.jl,64.49806199,40,0
squfl040-080persp.jl,263.89916130,40,0
sfacloc1_4_80.jl,7.87910096,62,0
sssd12-05.jl,281408.63520000,75,0
sfacloc2_4_90.jl,13.41150335,90,0
sssd15-06.jl,539635.46970000,108,0
squfl020-150persp.jl,557.84865000,20,0
sssd18-06.jl,397992.29510000,126,0
crudeoil_pooling_ct4.jl,13257.69513000,138,0
sssd20-04.jl,347691.41050000,92,0
procurement1mot.jl,291.54165770,60,0
sssd25-04.jl,300176.56370000,112,0
sepasequ_complex.jl,368.76161550,50,0
waterno2_03.jl,115.00451670,27,0
watercontamination0303r.jl,424.54414170,14,0
crudeoil_li01.jl,5122.56450100,48,0
crudeoil_pooling_ct2.jl,10246.21996000,108,0
squfl025-040.jl,197.33388120,25,0
gasprod_sarawak16.jl,-32271.21801000,38,0
qapw.jl,388214.00000000,225,0
multiplants_mtg5.jl,5924.64930100,78,0
squfl020-150.jl,557.84865000,20,0
CLay0205H.jl,8092.50000000,50,0
supplychainp1_022020.jl,1776977.12200000,460,0
